CMDLINE python ./Easy_1346/Easy_1346_Human.py
MEM 1.992188 1745189456.0375
MEM 2.660156 1745189456.0426
MEM 3.929688 1745189456.0442
MEM 6.230469 1745189456.0458
MEM 7.718750 1745189456.0474
MEM 8.648438 1745189456.0490
MEM 8.976562 1745189456.0506
MEM 9.234375 1745189456.0522
MEM 9.531250 1745189456.0537
MEM 9.843750 1745189456.0553
MEM 10.136719 1745189456.0569
MEM 10.578125 1745189456.0585
MEM 10.714844 1745189456.0601
MEM 10.859375 1745189456.0616
MEM 11.113281 1745189456.0632
MEM 11.429688 1745189456.0648
MEM 11.707031 1745189456.0664
MEM 11.992188 1745189456.0680
MEM 12.015625 1745189456.0696
MEM 11.039062 1745189456.0713
