CMDLINE python ./Easy_350/Easy_350_Claude.py
MEM 1.976562 1745189463.4698
MEM 2.527344 1745189463.4728
MEM 3.601562 1745189463.4744
MEM 6.046875 1745189463.4761
MEM 7.539062 1745189463.4777
MEM 8.562500 1745189463.4793
MEM 8.941406 1745189463.4808
MEM 9.164062 1745189463.4825
MEM 9.531250 1745189463.4842
MEM 9.839844 1745189463.4858
MEM 10.460938 1745189463.4874
MEM 10.746094 1745189463.4890
MEM 10.816406 1745189463.4906
MEM 10.957031 1745189463.4922
MEM 11.222656 1745189463.4938
MEM 11.593750 1745189463.4955
MEM 11.730469 1745189463.4971
MEM 12.089844 1745189463.4987
MEM 12.300781 1745189463.5003
MEM 11.593750 1745189463.5019
