CMDLINE python ./Easy_744/Easy_744_ChatGPT.py
MEM 1.980469 1745189468.0154
MEM 3.031250 1745189468.0170
MEM 3.914062 1745189468.0184
MEM 6.222656 1745189468.0203
MEM 7.660156 1745189468.0219
MEM 8.582031 1745189468.0235
MEM 8.933594 1745189468.0250
MEM 9.128906 1745189468.0267
MEM 9.515625 1745189468.0284
MEM 9.843750 1745189468.0300
MEM 10.429688 1745189468.0317
MEM 10.589844 1745189468.0331
MEM 10.671875 1745189468.0348
MEM 10.808594 1745189468.0365
MEM 11.000000 1745189468.0381
MEM 11.363281 1745189468.0397
MEM 11.550781 1745189468.0414
MEM 11.718750 1745189468.0430
MEM 12.062500 1745189468.0446
MEM 11.535156 1745189468.0462
