CMDLINE python ./Easy_744/Easy_744_Gemini.py
MEM 1.941406 1745189468.8145
MEM 2.457031 1745189468.8178
MEM 3.808594 1745189468.8194
MEM 6.101562 1745189468.8210
MEM 7.718750 1745189468.8226
MEM 8.664062 1745189468.8242
MEM 8.976562 1745189468.8258
MEM 9.183594 1745189468.8274
MEM 9.539062 1745189468.8290
MEM 9.863281 1745189468.8306
MEM 10.347656 1745189468.8323
MEM 10.625000 1745189468.8340
MEM 10.757812 1745189468.8357
MEM 10.929688 1745189468.8374
MEM 11.171875 1745189468.8389
MEM 11.433594 1745189468.8405
MEM 11.679688 1745189468.8421
MEM 11.957031 1745189468.8437
MEM 11.960938 1745189468.8453
