CMDLINE python Hard_4/Hard_4_ChatGPT.py
MEM 1.925781 1744587691.8949
MEM 2.449219 1744587691.8991
MEM 3.546875 1744587691.9008
MEM 5.910156 1744587691.9024
MEM 7.644531 1744587691.9041
MEM 8.652344 1744587691.9057
MEM 8.996094 1744587691.9073
MEM 9.273438 1744587691.9090
MEM 9.656250 1744587691.9106
MEM 10.035156 1744587691.9123
MEM 10.589844 1744587691.9137
MEM 10.726562 1744587691.9153
MEM 10.867188 1744587691.9169
MEM 11.046875 1744587691.9185
MEM 11.300781 1744587691.9201
MEM 11.546875 1744587691.9217
MEM 11.812500 1744587691.9232
MEM 12.164062 1744587691.9249
MEM 11.464844 1744587691.9266
